titulo,label
"Adolescente de  anos é apreendido com pistola em Paraty, RJ",negativo
"Empresário e esposa são mortos a tiros na frente dos filhos em Curitiba",negativo
"Restaurante é assaltado por três homens armados em Penedo, RJ",negativo
"Crianças são atropeladas em passeio com a mãe em Cuiabá e uma morre",negativo
"Após assalto, servidores de agência do Detran-MT paralisam atividades",negativo
"Tarifa de água deve ser reajustada em % em Cuiabá a partir de março",negativo
"'Poderia ter sido evitada', diz polícia sobre tortura de menino em MS",negativo
"Escola é alvo de vandalismo em Resende, no Sul do Rio",negativo
"Assaltante de caminhonete morre ao trocar tiros com a polícia em MS",negativo
"Ministério da Agricultura identifica fraudes em pescados à venda em SC",negativo
"Município de MS com única creche deixa  a cada  crianças sem aula",negativo
"Criação de  cargos comissionados do MP prevê custo de R$  milhões",negativo
"Mãe e dois filhos morrem após carro capotar e cair dentro de rio em MT",negativo
"Jovem é preso com bolsa cheia de drogas em Angra dos Reis, RJ",negativo
"Corpo de mulher desaparecida é encontrado no Rio Canoas em SC",negativo
"Prefeitura lança IPTU para  com reajuste de % devido a inflação",negativo
"Idoso é empurrado em esgoto e tem carteira roubada em MS, diz polícia",negativo
"Acidente entre carros mata bebê e deixa três adultos feridos na ",negativo
"Cidade de MT decreta situação de emergência por epidemia de dengue",negativo
"Primeiro reitor da Unemat morre aos  anos vítima de AVC em Cuiabá",negativo
"Profissionais da Educação fazem paralisação em cidade de MT",negativo
"Carro é 'engolido' por buraco após desviar de motociclista em Cuiabá",negativo
"Após troca de tiros, maconha e cocaína são apreendidas em Angra",negativo
"Presidente da Câmara de Vereadores de Rio Claro, RJ, é assassinado a tiros",negativo
"Homem é assassinado a tiros no bairro Corisco, em Paraty, RJ",negativo
"Prefeito é suspeito de beneficiar as próprias empresas em cidade de MT",negativo
"Corpo de mulher desaparecida em cidade de MT é achado após  dias",negativo
"Mais de  estão desalojados em Rio Claro após chuva do fim de semana",negativo
"Indígenas cobram pedágio de R$  após prisão de  índios durante caça",negativo
"Batida mata duas pessoas e deixa uma em estado grave litoral do PR",negativo
"Trio é flagrado com cocaína em Paraty, na Costa Verde do Rio",negativo
"Professores se reúnem com Bernal, mas mantêm paralisação em MS",negativo
"Dois ficam feridos em capotamento na Vila Nova, em Barra Mansa, RJ",negativo
"Caminhão de bombeiros se envolve em acidente e ciclista morre em SC",negativo
"Marido agride mulher e faz criança de  anos refém para tentar evitar prisão",negativo
"Saúde confirma ª morte por  em  e investiga outra em MS",negativo
"Dois bebês nascem com microcefalia em Volta Redonda, no Sul do Rio",negativo
"MP de Mato Grosso é o º menos transparente do país, aponta pesquisa",negativo
"Caminhoneiro fica gravemente ferido após bater veículo em barranco no PR",negativo
"Paciente fica cinco dias internado em cadeira de unidade de saúde no PR",negativo
"Mulher de  anos é encontrada morta em rua de Várzea Grande (MT)",negativo
"Número de casos de dengue cresce % em Mato Grosso, diz estado",negativo
"Represas se rompem após chuvas e estradas ficam intransitáveis em MT",negativo
"Aposentada  anos morre vítima de dengue em Mato Grosso",negativo
"Em MS, mulher tropeça, cai em rodovia, bate em caminhão e morre",negativo
"Caminhão é atingido por outro após bater em barranco na Serra, em Piraí",negativo
"Saúde registra  casos de isolamento por causa da influenza em MS",negativo
"Jovem é assassinado em ponto de ônibus em Paraíba do Sul, RJ",negativo
"Idoso morre e jovem e criança ficam feridas em acidente em rodovia de MS",negativo
"Troca de tiros deixa trecho da , em Paranaguá, fechado por uma hora",negativo
"Falta de linhas telefônicas prejudica moradores da Fumaça, em Resende",negativo
"Comerciante é ferido ao acusar irmão de ser 'fantasma' da prefeitura em MS",negativo
"Pedreiro morre após cair de obra em Paulo de Frontin, RJ",negativo
"Hotel é invadido por criminosos e hóspedes são feitos reféns em SC",negativo
"Ex-senadora continua internada em hospital de SP após sofrer AVC",negativo
"Ciclistas morrem atropelados por caminhão em rodovia do litoral do PR",negativo
"Cerca de sete toneladas de peixes morrem no rio Paraná em MS",negativo
"Adolescente rouba caminhonete e na fuga bate em viatura da PM em MT",negativo
"'Nojo', diz jovem que relatou em rede social abuso em ônibus de Curitiba",negativo
"Dono de restaurante reage a assalto a posto de combustíveis e é morto ",negativo
"Bombeiros resgatam em lago corpo de empresário que caiu de barco",negativo
"Acidente entre SUV e carro de passeio deixa três feridos na ",negativo
"Motorista bate carro em monte de terra na beira da  e idosa morre",negativo
"Casal e crianças são encontrados mortos em casa na região de Curitiba",negativo
"Mais  cidades do Paraná entram em epidemia de dengue em uma semana",negativo
"Motociclista de  anos morre em acidente na  em MT",negativo
"TJ-PR manda soltar médico acusado de matar namorada fisiculturista",negativo
"Reportagem mostra que SC é o º estado com mais feminicídios no país",negativo
"Garagem da prefeitura de Barra do Piraí pode virar foco do Aedes aegypti",negativo
"Sobe de  para  o nº de mortes por dengue no Paraná, aponta a Saúde",negativo
"Jovem atropela homem em MS e pensa que foi animal, diz polícia",negativo
"Motorista morre após acidente com duas carretas na  em MT",negativo
"Adolescente mata madrasta após briga por causa de carro, diz polícia",negativo
"Casos confirmados de dengue no Paraná sobem % em uma semana",negativo
"Acidente envolvendo caminhão e moto deixa dois mortos em Angra, RJ",negativo
"'Vou morrer sem ter feito nada', disse manicure a amiga antes de crime",negativo
"Avó adotiva de criança seria mentora de ritual de magia negra, diz delegado",negativo
"Três pedestres morrem atropelados em rodovias de SC em menos de  h",negativo
"Acidente entre quatro carretas mata motorista e deixa  feridos em MT",negativo
"Menino de  é flagrado com drogas e diz que vende a mando dos pais",negativo
"Assaltantes embarcam em ônibus lotado e fazem arrastão em Cuiabá",negativo
"Funcionária de boate morre após ser atingida por elevador em Criciúma",negativo
"Instituto aponta elevado nº de coliformes no Sul de Florianópolis",negativo
"Escola nunca usada que custou mais de R$  mi deve ser reconstruída",negativo
"Homem é ferido por tiros em MS e diz que suspeito era passageiro de carro",negativo
"Cavalo é atropelado no Centro de Resende, RJ",negativo
"Depósito de loja de confecções pega fogo e mercadorias são destruídas em MT",negativo
"Assaltantes invadem posto de saúde e levam  ares-condicionados em MT",negativo
"Duas pessoas morrem e três ficam feridas em acidente na  em MS",negativo
"Suspeitos invadem casa e fazem casal de refém em Itatiaia, RJ",negativo
"Incêndio destrói loja de roupas e mobiliza bombeiros na capital de MS",negativo
"Acidentes com mortes no carnaval aumentam % nas rodovias de MT",negativo
"Rios começam a transbordar e água invade estrada e fazendas no Pantanal",negativo
"Idoso de  anos morre atropelado por ônibus no centro de Cuiabá",negativo
"Passa de  mil número de casos de dengue confirmados em SC em ",negativo
"Governo de MT pagou quase o dobro por área que já lhe pertencia, diz CGE",negativo
"Pesquisadores da Faperj só receberão bolsa de janeiro em julho, diz governo",negativo
"Chuva deixa Rio em estágio de atenção, alaga ruas e trava o trânsito",negativo
"Criminosos usam prédio abandonado para roubar em Niterói",negativo
"Ônibus faz manobra e bate em VLT no Centro do Rio",negativo
"Empresário morre esfaqueado durante assalto na Zona Oeste do Rio",negativo
"Turista americana é assaltada em Copacabana, na Zona Sul",negativo
"Quatro policiais militares são baleados em poucas horas no RJ",negativo
"Quase  mil pessoas estão desempregadas no RJ, diz IBGE",negativo
"Livro de hospital diz que Paes foi 'grosseiro' com equipe médica",negativo
"Obras contra enchentes no Rio só usaram % da verba, diz vereadora",negativo
"Suspeito de matar PM no Rio foi preso duas semanas antes do crime",negativo
"Casos de dengue no Rio aumentam % nos primeiros meses de ",negativo
"Testemunhas dizem que ônibus que virou no Rio estava em alta velocidade",negativo
"Três dias após chuvas no Rio, agência dos Correios permanece fechada",negativo
"Paes nega ter furado fila em hospital no Rio e diz que denúncia é política ",negativo
"Tartaruga marinha é encontrada morta na Praia do Recreio, Zona Oeste",negativo
"Tiroteio e perseguição assustam motoristas na Linha Vermelha, no Rio",negativo
"Cerca de  mil alunos do Cefet estão sem aulas após alagamentos no Rio",negativo
"Trânsito na , no RJ, é fechado com barricada por manifestantes",negativo
"Uma pessoa morre em acidente na Avenida Brasil, no Rio",negativo
"Bancos de sangue do Rio têm queda de doações e zika pode ser a causa",negativo
"Ônibus tomba e deixa  feridos no Rio",negativo
"Acidente com ônibus deixa mais de  feridos em Campo Grande, no RJ",negativo
"Dona de casa relata desafio de cuidar de bebê com microcefalia no RJ",negativo
"Após troca de tiros, policiamento é reforçado no Alemão, Rio",negativo
"Polícia troca tiros com criminosos no Morro da Providência, Rio",negativo
"Travesti é morta a tiros em Rio das Pedras, Zona Oeste do Rio",negativo
"Piscinões construídos pela Prefeitura do Rio não evitam alagamentos",negativo
"Pacientes de hospital do RJ tomam banho com água de goteira ",negativo
"Governador Pezão segue internado após exames de rotina no Rio",negativo
"Mãe e mulher de PM morto passam mal durante velório no Rio",negativo
"Justiça autoriza internamento de José Dirceu para bateria de exames",neutro
"Prefeito de Florianópolis exonera mais três secretários municipais",neutro
"Novos horários de ônibus passam a ser oferecidos na capital; confira",neutro
"Moro vai interrogar de novo delator que admitiu ter mentido sobre Dirceu",neutro
"Quinta-feira tem predomínio de sol e temperaturas elevadas à tarde em SC",neutro
"Câmara de Curitiba suspende licitação para aluguel de impressoras",neutro
"O que você precisa saber no PR para começar este  de dezembro de ",neutro
"Quarta ) será de calor e sol entre nuvens em Santa Catarina",neutro
"O que você precisa saber no PR para começar este  de dezembro de ",neutro
"Sérgio Moro corrige sentença e reduz pena de ex-executivo da Odebrecht",neutro
